ct,ca,tiempo,tiempo_c
4, 100, 0.78366, 0.384368
16, 100, 0.811049, 0.386264
32, 100, 0.798653, 0.400509
64, 100, 0.791376, 0.394171
2, 100, 0.868236, 0.476103
4, 100, 0.780988, 0.382231
16, 100, 0.784123, 0.389151
32, 100, 0.79025, 0.393963
64, 100, 0.796118, 0.398094
2, 100, 1.01671, 0.443149
4, 100, 0.781324, 0.3873
16, 100, 0.80612, 0.388941
32, 100, 0.789356, 0.398302
64, 100, 0.82317, 0.389881
2, 100, 1.01611, 0.647358
4, 100, 0.786259, 0.390669
16, 100, 0.808321, 0.389231
32, 100, 0.799965, 0.402852
64, 100, 0.798494, 0.388336
2, 100, 0.803315, 0.440955
4, 100, 0.78185, 0.383846
16, 100, 0.811365, 0.395173
32, 100, 0.79326, 0.403808
64, 100, 0.811825, 0.39122
2, 100, 1.01019, 0.447026
4, 100, 0.774303, 0.382996
16, 100, 0.804303, 0.386495
32, 100, 0.809324, 0.399918
64, 100, 0.791176, 0.390156
2, 100, 0.810563, 0.459313
4, 100, 0.826797, 0.399278
16, 100, 0.81252, 0.392722
32, 100, 0.795209, 0.402824
64, 100, 0.797147, 0.401094
2, 100, 1.00181, 0.448625
4, 100, 0.776581, 0.388559
16, 100, 0.798488, 0.384647
32, 100, 0.778712, 0.397289
64, 100, 0.797928, 0.390094
2, 100, 1.02045, 0.644788
4, 100, 0.787449, 0.385182
16, 100, 0.798379, 0.396218
32, 100, 0.80779, 0.399381
64, 100, 0.789575, 0.396701
2, 100, 0.799641, 0.442061
4, 100, 0.775738, 0.379876
16, 100, 0.76753, 0.383845
32, 100, 0.790504, 0.396245
64, 100, 0.808912, 0.396468
2, 100, 1.00657, 0.45168
4, 100, 0.810282, 0.411194
16, 100, 0.805581, 0.388314
32, 100, 0.773408, 0.403787
64, 100, 0.82554, 0.390709
2, 100, 0.805364, 0.448887
4, 100, 0.781735, 0.376916
16, 100, 0.792976, 0.391607
32, 100, 0.792948, 0.3904
64, 100, 0.793167, 0.396803
2, 100, 0.807315, 0.651335
4, 100, 0.779564, 0.381893
16, 100, 0.821874, 0.397627
32, 100, 0.800441, 0.407111
64, 100, 0.797584, 0.401866
2, 100, 1.01549, 0.452546
4, 100, 0.779451, 0.38573
16, 100, 0.76306, 0.386037
32, 100, 0.768309, 0.397703
64, 100, 0.810247, 0.389353
2, 100, 0.804638, 0.443535
4, 100, 0.773263, 0.383976
16, 100, 0.793151, 0.393258
32, 100, 0.793488, 0.40119
64, 100, 0.784653, 0.392976
2, 100, 0.811482, 0.455313
4, 100, 0.787508, 0.386977
16, 100, 0.770485, 0.384997
